File,Participant,Agent_Type,Rounds,AblationType,Pred_Openness,Pred_Conscientiousness,Pred_Extraversion,Pred_Agreeableness,Pred_Neuroticism,GT_Openness,GT_Conscientiousness,GT_Extraversion,GT_Agreeableness,GT_Neuroticism,O_MAE,O_Error,O_RMSE,C_MAE,C_Error,C_RMSE,E_MAE,E_Error,E_RMSE,A_MAE,A_Error,A_RMSE,N_MAE,N_Error,N_RMSE,Avg_MAE,Avg_RMSE
16_尽责性_dialogue.txt,16,尽责性,3,dialogue,3.2,3.0,2.8,3.7,2.3,4.3,4.0,4.625,3.333,3.0,1.1,1.1,1.342,1.0,1.0,1.2,1.825,1.825,2.491,0.367,-0.367,0.394,0.7,0.7,0.798,0.998,1.11
16_尽责性_dialogue.txt,16,尽责性,4,dialogue,3.2,2.9,2.8,3.7,3.6,4.3,4.0,4.625,3.333,3.0,1.1,1.1,1.342,1.1,1.1,1.342,1.825,1.825,2.491,0.367,-0.367,0.394,0.6,-0.6,0.672,0.998,1.118
16_尽责性_dialogue.txt,16,尽责性,6,dialogue,3.2,2.8,2.7,3.6,3.8,4.3,4.0,4.625,3.333,3.0,1.1,1.1,1.342,1.2,1.2,1.488,1.925,1.925,2.666,0.267,-0.267,0.281,0.8,-0.8,0.928,1.058,1.189
16_尽责性_dialogue.txt,16,尽责性,1,dialogue,3.0,2.8,2.7,3.3,2.0,4.3,4.0,4.625,3.333,3.0,1.3,1.3,1.638,1.2,1.2,1.488,1.925,1.925,2.666,0.033,0.033,0.034,1.0,1.0,1.2,1.092,1.252
16_尽责性_dialogue.txt,16,尽责性,2,dialogue,3.2,3.3,2.8,3.7,2.3,4.3,4.0,4.625,3.333,3.0,1.1,1.1,1.342,0.7,0.7,0.798,1.825,1.825,2.491,0.367,-0.367,0.394,0.7,0.7,0.798,0.938,1.063
16_尽责性_dialogue.txt,16,尽责性,5,dialogue,3.2,2.8,2.7,3.6,3.8,4.3,4.0,4.625,3.333,3.0,1.1,1.1,1.342,1.2,1.2,1.488,1.925,1.925,2.666,0.267,-0.267,0.281,0.8,-0.8,0.928,1.058,1.189
45_宜人性_dialogue.txt,45,宜人性,4,dialogue,2.8,3.6,3.0,3.8,2.5,3.6,3.333,4.25,4.556,2.75,0.8,0.8,0.928,0.267,-0.267,0.281,1.25,1.25,1.562,0.756,0.756,0.87,0.25,0.25,0.263,0.664,0.762
45_宜人性_dialogue.txt,45,宜人性,3,dialogue,2.8,3.6,3.3,3.8,2.5,3.6,3.333,4.25,4.556,2.75,0.8,0.8,0.928,0.267,-0.267,0.281,0.95,0.95,1.131,0.756,0.756,0.87,0.25,0.25,0.263,0.604,0.67
45_宜人性_dialogue.txt,45,宜人性,1,dialogue,2.8,3.6,3.0,4.0,2.2,3.6,3.333,4.25,4.556,2.75,0.8,0.8,0.928,0.267,-0.267,0.281,1.25,1.25,1.562,0.556,0.556,0.617,0.55,0.55,0.61,0.684,0.76
45_宜人性_dialogue.txt,45,宜人性,2,dialogue,2.9,3.6,3.1,4.0,2.8,3.6,3.333,4.25,4.556,2.75,0.7,0.7,0.798,0.267,-0.267,0.281,1.15,1.15,1.414,0.556,0.556,0.617,0.05,-0.05,0.05,0.544,0.663
45_宜人性_dialogue.txt,45,宜人性,5,dialogue,2.8,3.6,2.7,3.8,2.3,3.6,3.333,4.25,4.556,2.75,0.8,0.8,0.928,0.267,-0.267,0.281,1.55,1.55,2.03,0.756,0.756,0.87,0.45,0.45,0.491,0.764,0.882
45_宜人性_dialogue.txt,45,宜人性,6,dialogue,2.8,3.7,3.3,4.0,2.2,3.6,3.333,4.25,4.556,2.75,0.8,0.8,0.928,0.367,-0.367,0.394,0.95,0.95,1.131,0.556,0.556,0.617,0.55,0.55,0.61,0.644,0.676
20_宜人性_dialogue.txt,20,宜人性,3,dialogue,3.2,3.0,3.0,4.0,2.8,2.4,2.889,2.5,4.0,3.25,0.8,-0.8,0.928,0.111,-0.111,0.114,0.5,-0.5,0.55,0.0,0.0,0.0,0.45,0.45,0.491,0.372,0.47
20_宜人性_dialogue.txt,20,宜人性,5,dialogue,3.0,3.6,2.9,4.0,2.3,2.4,2.889,2.5,4.0,3.25,0.6,-0.6,0.672,0.711,-0.711,0.812,0.4,-0.4,0.432,0.0,0.0,0.0,0.95,0.95,1.131,0.532,0.621
20_宜人性_dialogue.txt,20,宜人性,6,dialogue,3.2,3.6,2.9,4.0,2.3,2.4,2.889,2.5,4.0,3.25,0.8,-0.8,0.928,0.711,-0.711,0.812,0.4,-0.4,0.432,0.0,0.0,0.0,0.95,0.95,1.131,0.572,0.665
20_宜人性_dialogue.txt,20,宜人性,1,dialogue,3.2,3.5,3.0,4.0,1.8,2.4,2.889,2.5,4.0,3.25,0.8,-0.8,0.928,0.611,-0.611,0.686,0.5,-0.5,0.55,0.0,0.0,0.0,1.45,1.45,1.871,0.672,0.82
20_宜人性_dialogue.txt,20,宜人性,2,dialogue,3.2,3.3,2.9,4.0,1.8,2.4,2.889,2.5,4.0,3.25,0.8,-0.8,0.928,0.411,-0.411,0.445,0.4,-0.4,0.432,0.0,0.0,0.0,1.45,1.45,1.871,0.612,0.784
20_宜人性_dialogue.txt,20,宜人性,4,dialogue,3.2,3.7,2.9,4.0,2.3,2.4,2.889,2.5,4.0,3.25,0.8,-0.8,0.928,0.811,-0.811,0.943,0.4,-0.4,0.432,0.0,0.0,0.0,0.95,0.95,1.131,0.592,0.687
29_开放性_dialogue.txt,29,开放性,1,dialogue,2.8,3.2,2.0,3.0,2.7,3.2,2.889,3.0,3.556,3.0,0.4,0.4,0.432,0.311,-0.311,0.33,1.0,1.0,1.2,0.556,0.556,0.617,0.3,0.3,0.318,0.513,0.575
29_开放性_dialogue.txt,29,开放性,2,dialogue,2.8,3.2,2.1,3.3,2.5,3.2,2.889,3.0,3.556,3.0,0.4,0.4,0.432,0.311,-0.311,0.33,0.9,0.9,1.062,0.256,0.256,0.269,0.5,0.5,0.55,0.473,0.526
29_开放性_dialogue.txt,29,开放性,3,dialogue,2.8,3.6,2.1,3.3,2.5,3.2,2.889,3.0,3.556,3.0,0.4,0.4,0.432,0.711,-0.711,0.812,0.9,0.9,1.062,0.256,0.256,0.269,0.5,0.5,0.55,0.553,0.598
