Agent_Type,Rounds,O_MAE,C_MAE,E_MAE,A_MAE,N_MAE,Avg_MAE,O_RMSE,C_RMSE,E_RMSE,A_RMSE,N_RMSE,Avg_RMSE
外向性,1,0.681,0.605,0.683,0.778,0.725,0.694,0.835,0.702,0.814,0.995,0.888,0.823
外向性,2,0.643,0.603,0.618,0.656,0.757,0.655,0.776,0.705,0.733,0.817,0.926,0.789
外向性,3,0.621,0.654,0.612,0.649,0.67,0.641,0.742,0.776,0.725,0.805,0.815,0.769
外向性,4,0.602,0.61,0.617,0.641,0.663,0.627,0.711,0.724,0.727,0.792,0.813,0.752
外向性,5,0.633,0.619,0.614,0.644,0.683,0.639,0.754,0.736,0.722,0.799,0.83,0.763
外向性,6,0.69,0.674,0.635,0.593,0.685,0.655,0.828,0.802,0.752,0.73,0.838,0.775
宜人性,1,0.607,0.475,0.592,0.633,0.813,0.624,0.718,0.544,0.702,0.784,1.007,0.743
宜人性,2,0.619,0.562,0.573,0.638,0.817,0.642,0.741,0.652,0.67,0.792,1.023,0.773
宜人性,3,0.631,0.555,0.548,0.654,0.824,0.642,0.75,0.65,0.638,0.802,1.019,0.757
宜人性,4,0.669,0.622,0.546,0.57,0.826,0.647,0.8,0.733,0.635,0.696,1.02,0.767
宜人性,5,0.624,0.632,0.584,0.628,0.87,0.668,0.747,0.747,0.686,0.766,1.07,0.78
宜人性,6,0.595,0.66,0.549,0.625,0.873,0.66,0.712,0.783,0.643,0.762,1.07,0.78
尽责性,1,0.717,0.653,0.648,0.598,0.74,0.671,0.871,0.77,0.774,0.741,0.896,0.782
尽责性,2,0.674,0.62,0.657,0.592,0.726,0.654,0.819,0.727,0.788,0.721,0.882,0.77
尽责性,3,0.693,0.613,0.679,0.619,0.763,0.673,0.857,0.723,0.818,0.744,0.921,0.783
尽责性,4,0.686,0.642,0.696,0.602,0.692,0.663,0.841,0.76,0.841,0.732,0.837,0.777
尽责性,5,0.686,0.633,0.648,0.537,0.704,0.642,0.838,0.747,0.779,0.64,0.849,0.753
尽责性,6,0.712,0.639,0.67,0.531,0.66,0.642,0.87,0.762,0.806,0.628,0.796,0.76
开放性,1,0.61,0.576,0.639,0.555,0.674,0.611,0.751,0.676,0.761,0.656,0.82,0.728
开放性,2,0.645,0.64,0.64,0.52,0.676,0.624,0.789,0.756,0.76,0.61,0.823,0.729
开放性,3,0.617,0.66,0.595,0.534,0.673,0.616,0.734,0.778,0.695,0.633,0.82,0.724
开放性,4,0.614,0.681,0.57,0.538,0.702,0.621,0.734,0.808,0.666,0.649,0.854,0.737
开放性,5,0.638,0.704,0.632,0.547,0.645,0.633,0.799,0.843,0.765,0.67,0.776,0.749
开放性,6,0.629,0.704,0.608,0.514,0.661,0.623,0.759,0.834,0.72,0.616,0.808,0.741
神经质,1,0.648,0.605,0.591,0.817,0.654,0.663,0.792,0.712,0.698,1.043,0.787,0.788
神经质,2,0.662,0.618,0.595,0.733,0.708,0.663,0.808,0.726,0.702,0.909,0.863,0.779
神经质,3,0.652,0.675,0.612,0.744,0.696,0.676,0.793,0.805,0.73,0.931,0.849,0.807
神经质,4,0.626,0.64,0.583,0.794,0.707,0.67,0.759,0.763,0.687,1.001,0.875,0.807
神经质,5,0.605,0.675,0.583,0.767,0.681,0.662,0.724,0.808,0.687,0.957,0.833,0.787
神经质,6,0.633,0.702,0.597,0.802,0.706,0.688,0.773,0.847,0.707,1.004,0.863,0.812
