Participant,Rounds,O_MAE,C_MAE,E_MAE,A_MAE,N_MAE,Avg_MAE,O_RMSE,C_RMSE,E_RMSE,A_RMSE,N_RMSE,Avg_RMSE
1,1,0.28,0.456,0.15,0.611,1.475,0.594,0.302,0.512,0.159,0.713,1.958,0.782
1,2,0.14,0.344,0.21,0.726,1.735,0.631,0.144,0.37,0.223,0.866,2.345,0.881
1,3,0.46,0.173,0.13,0.349,1.615,0.545,0.52,0.186,0.135,0.379,2.138,0.792
1,4,0.48,0.344,0.27,0.231,1.275,0.52,0.543,0.376,0.287,0.247,1.633,0.675
1,5,0.42,0.384,0.21,0.231,1.255,0.5,0.475,0.422,0.219,0.248,1.601,0.657
1,6,0.32,0.276,0.21,0.391,1.435,0.526,0.364,0.303,0.221,0.429,1.86,0.72
10,1,0.18,0.929,0.6,0.453,1.765,0.785,0.192,1.118,0.685,0.571,2.403,1.018
10,2,0.16,1.069,0.64,0.307,1.985,0.832,0.171,1.312,0.728,0.343,2.781,1.079
10,3,0.18,1.189,0.72,0.267,1.905,0.852,0.192,1.489,0.827,0.285,2.641,1.076
10,4,0.18,1.229,0.64,0.247,2.005,0.86,0.192,1.564,0.728,0.262,2.819,1.113
10,5,0.16,1.169,0.76,0.18,2.025,0.858,0.171,1.466,0.877,0.19,2.857,1.113
10,6,0.18,1.229,0.7,0.187,2.045,0.868,0.192,1.554,0.801,0.197,2.892,1.128
11,1,1.86,0.214,0.66,0.893,1.075,0.94,2.552,0.229,0.748,1.057,1.336,1.103
11,2,1.94,0.236,0.64,0.889,1.135,0.968,2.693,0.248,0.725,1.047,1.393,1.125
11,3,1.94,0.276,0.64,0.889,1.115,0.972,2.693,0.291,0.723,1.047,1.364,1.122
11,4,1.96,0.356,0.64,0.869,1.315,1.028,2.73,0.383,0.723,1.02,1.667,1.176
11,5,1.96,0.456,0.58,0.849,1.295,1.028,2.73,0.5,0.652,0.994,1.638,1.172
11,6,1.92,0.436,0.56,0.893,1.095,0.981,2.658,0.478,0.627,1.057,1.365,1.13
13,1,0.82,0.473,0.17,0.849,0.355,0.534,0.958,0.542,0.181,1.054,0.385,0.653
13,2,0.92,0.353,0.23,0.849,0.415,0.554,1.09,0.414,0.255,1.049,0.454,0.678
13,3,0.86,0.213,0.13,0.949,0.355,0.502,1.008,0.224,0.135,1.176,0.38,0.624
13,4,0.82,0.218,0.09,0.949,0.375,0.491,0.957,0.234,0.093,1.19,0.403,0.619
13,5,0.84,0.238,0.17,0.909,0.395,0.511,0.985,0.26,0.181,1.142,0.427,0.63
13,6,0.9,0.193,0.15,0.909,0.355,0.502,1.063,0.202,0.156,1.127,0.38,0.63
14,1,1.52,1.0,0.59,1.298,0.495,0.981,2.01,1.253,0.687,1.724,0.563,1.113
14,2,1.28,0.78,0.53,1.218,0.485,0.859,1.648,0.932,0.606,1.597,0.553,0.967
14,3,1.52,1.1,0.69,1.458,0.475,1.049,2.014,1.382,0.799,1.902,0.543,1.162
14,4,1.44,1.12,0.57,1.498,0.365,0.999,1.879,1.403,0.66,1.971,0.415,1.139
14,5,1.26,0.9,0.61,1.358,0.475,0.921,1.58,1.084,0.695,1.744,0.543,1.017
14,6,1.44,1.14,0.57,1.358,0.375,0.977,1.894,1.439,0.66,1.75,0.425,1.112
15,1,0.24,0.151,0.29,0.253,0.26,0.239,0.252,0.156,0.311,0.268,0.274,0.257
15,2,0.2,0.174,0.27,0.14,0.22,0.201,0.21,0.18,0.288,0.146,0.23,0.221
15,3,0.34,0.191,0.29,0.267,0.18,0.254,0.372,0.198,0.311,0.291,0.189,0.296
15,4,0.32,0.229,0.35,0.127,0.18,0.241,0.35,0.24,0.376,0.133,0.188,0.275
