File,Participant,Agent_Type,Rounds,AblationType,Pred_Openness,Pred_Conscientiousness,Pred_Extraversion,Pred_Agreeableness,Pred_Neuroticism,GT_Openness,GT_Conscientiousness,GT_Extraversion,GT_Agreeableness,GT_Neuroticism,O_MAE,O_Error,O_RMSE,C_MAE,C_Error,C_RMSE,E_MAE,E_Error,E_RMSE,A_MAE,A_Error,A_RMSE,N_MAE,N_Error,N_RMSE,Avg_MAE,Avg_RMSE
29_开放性_dialogue.txt,29,开放性,5,dialogue,3.2,4.0,2.3,4.2,2.0,3.2,2.889,3.0,3.556,3.0,0.0,0.0,0.0,1.111,-1.111,1.358,0.7,0.7,0.798,0.644,-0.644,0.728,1.0,1.0,1.2,0.691,0.792
29_开放性_dialogue.txt,29,开放性,6,dialogue,2.8,4.2,2.0,4.5,2.0,3.2,2.889,3.0,3.556,3.0,0.4,0.4,0.432,1.311,-1.311,1.655,1.0,1.0,1.2,0.944,-0.944,1.123,1.0,1.0,1.2,0.931,0.977
29_开放性_dialogue.txt,29,开放性,4,dialogue,2.8,3.2,2.0,3.7,2.3,3.2,2.889,3.0,3.556,3.0,0.4,0.4,0.432,0.311,-0.311,0.33,1.0,1.0,1.2,0.144,-0.144,0.149,0.7,0.7,0.798,0.511,0.595
29_开放性_dialogue.txt,29,开放性,1,dialogue,3.8,4.0,2.0,3.8,2.0,3.2,2.889,3.0,3.556,3.0,0.6,-0.6,0.672,1.111,-1.111,1.358,1.0,1.0,1.2,0.244,-0.244,0.256,1.0,1.0,1.2,0.791,0.855
29_开放性_dialogue.txt,29,开放性,3,dialogue,2.0,3.5,2.0,3.8,2.0,3.2,2.889,3.0,3.556,3.0,1.2,1.2,1.488,0.611,-0.611,0.686,1.0,1.0,1.2,0.244,-0.244,0.256,1.0,1.0,1.2,0.811,0.88
29_开放性_dialogue.txt,29,开放性,2,dialogue,3.2,3.4,2.2,3.6,2.0,3.2,2.889,3.0,3.556,3.0,0.0,0.0,0.0,0.511,-0.511,0.563,0.8,0.8,0.928,0.044,-0.044,0.045,1.0,1.0,1.2,0.471,0.617
28_尽责性_dialogue.txt,28,尽责性,5,dialogue,3.5,3.8,3.2,4.2,2.1,3.2,2.667,2.5,3.889,2.875,0.3,-0.3,0.318,1.133,-1.133,1.39,0.7,-0.7,0.798,0.311,-0.311,0.33,0.775,0.775,0.895,0.644,0.716
28_尽责性_dialogue.txt,28,尽责性,2,dialogue,3.0,3.8,3.0,4.2,2.0,3.2,2.667,2.5,3.889,2.875,0.2,0.2,0.208,1.133,-1.133,1.39,0.5,-0.5,0.55,0.311,-0.311,0.33,0.875,0.875,1.028,0.604,0.698
28_尽责性_dialogue.txt,28,尽责性,3,dialogue,3.2,3.2,3.0,4.2,2.0,3.2,2.667,2.5,3.889,2.875,0.0,0.0,0.0,0.533,-0.533,0.59,0.5,-0.5,0.55,0.311,-0.311,0.33,0.875,0.875,1.028,0.444,0.529
28_尽责性_dialogue.txt,28,尽责性,6,dialogue,3.4,3.8,2.5,4.2,2.3,3.2,2.667,2.5,3.889,2.875,0.2,-0.2,0.208,1.133,-1.133,1.39,0.0,0.0,0.0,0.311,-0.311,0.33,0.575,0.575,0.641,0.444,0.592
28_尽责性_dialogue.txt,28,尽责性,4,dialogue,3.2,3.4,2.8,4.2,2.5,3.2,2.667,2.5,3.889,2.875,0.0,0.0,0.0,0.733,-0.733,0.841,0.3,-0.3,0.318,0.311,-0.311,0.33,0.375,0.375,0.403,0.344,0.416
28_尽责性_dialogue.txt,28,尽责性,1,dialogue,3.2,3.0,2.9,3.8,2.0,3.2,2.667,2.5,3.889,2.875,0.0,0.0,0.0,0.333,-0.333,0.356,0.4,-0.4,0.432,0.089,0.089,0.09,0.875,0.875,1.028,0.339,0.457
3_开放性_dialogue.txt,3,开放性,5,dialogue,3.8,3.5,2.8,4.2,2.3,3.6,2.778,3.5,3.667,2.875,0.2,-0.2,0.208,0.722,-0.722,0.827,0.7,0.7,0.798,0.533,-0.533,0.59,0.575,0.575,0.641,0.546,0.577
