Participant,Rounds,O_MAE,C_MAE,E_MAE,A_MAE,N_MAE,Avg_MAE,O_RMSE,C_RMSE,E_RMSE,A_RMSE,N_RMSE,Avg_RMSE
1,1,0.58,0.284,0.39,0.531,1.495,0.656,0.652,0.313,0.428,0.603,2.043,0.849
1,2,0.54,0.204,0.61,0.874,1.535,0.753,0.606,0.221,0.731,1.044,2.065,0.92
1,3,0.78,0.507,0.63,0.656,1.455,0.806,0.929,0.581,0.761,0.748,1.963,0.951
1,4,0.62,0.156,0.37,0.574,1.325,0.609,0.74,0.161,0.467,0.644,1.729,0.786
1,5,0.72,0.416,0.37,0.696,1.315,0.704,0.856,0.46,0.413,0.795,1.746,0.804
1,6,0.74,0.387,0.53,0.774,1.075,0.701,0.867,0.431,0.639,0.894,1.405,0.807
10,1,0.62,0.873,1.16,0.707,1.865,1.045,0.699,1.062,1.505,0.858,2.623,1.222
10,2,0.7,1.249,0.76,0.72,2.065,1.098,0.824,1.584,0.926,0.87,2.921,1.274
10,3,0.66,1.549,1.1,0.5,1.725,1.106,0.777,2.044,1.416,0.551,2.418,1.26
10,4,0.5,1.209,1.18,0.493,1.715,1.019,0.572,1.529,1.472,0.543,2.438,1.18
10,5,0.54,1.429,0.6,0.593,1.595,0.951,0.609,1.851,0.702,0.666,2.193,1.104
10,6,0.58,1.449,1.24,0.493,1.645,1.081,0.662,1.887,1.583,0.543,2.277,1.217
11,1,1.68,0.229,0.52,1.109,1.215,0.951,2.25,0.246,0.589,1.355,1.519,1.094
11,2,1.6,0.434,0.68,1.129,0.925,0.954,2.118,0.475,0.814,1.384,1.133,1.065
11,3,1.94,0.414,0.64,1.109,0.905,1.002,2.712,0.45,0.733,1.36,1.104,1.158
11,4,1.72,0.434,0.58,1.269,1.235,1.048,2.314,0.478,0.652,1.602,1.57,1.169
11,5,1.84,0.516,0.98,1.129,1.165,1.126,2.563,0.57,1.205,1.394,1.472,1.237
11,6,1.9,0.556,0.94,1.169,1.225,1.158,2.672,0.62,1.163,1.45,1.534,1.265
13,1,0.62,0.689,0.25,0.318,0.475,0.471,0.702,0.797,0.276,0.343,0.529,0.523
13,2,0.54,0.498,0.39,0.227,0.615,0.454,0.616,0.572,0.456,0.239,0.691,0.533
13,3,0.48,0.293,0.49,0.347,0.795,0.481,0.538,0.316,0.562,0.374,0.952,0.563
13,4,0.52,0.409,0.31,0.287,0.615,0.428,0.579,0.461,0.351,0.303,0.71,0.489
13,5,0.48,0.253,0.59,0.291,0.595,0.442,0.538,0.274,0.675,0.31,0.672,0.501
13,6,0.26,0.349,0.27,0.231,0.485,0.319,0.284,0.375,0.291,0.244,0.544,0.374
14,1,1.22,0.62,0.57,0.844,0.455,0.742,1.626,0.726,0.639,1.106,0.52,0.814
14,2,1.02,0.8,0.83,0.876,0.255,0.756,1.316,0.979,1.01,1.126,0.281,0.91
14,3,1.0,0.66,0.77,0.787,0.445,0.732,1.27,0.83,0.93,0.989,0.512,0.863
14,4,0.8,0.56,0.67,0.596,0.315,0.588,0.954,0.65,0.808,0.756,0.353,0.73
14,5,0.84,0.46,0.61,0.938,0.735,0.717,1.07,0.535,0.7,1.211,0.898,0.837
14,6,0.68,0.547,0.79,0.707,0.525,0.65,0.806,0.628,0.948,0.888,0.633,0.779
15,1,0.34,0.329,0.25,0.46,0.74,0.424,0.364,0.355,0.267,0.506,0.874,0.482
15,2,0.28,0.309,0.21,0.413,0.48,0.339,0.301,0.334,0.223,0.45,0.531,0.381
15,3,0.3,0.274,0.21,0.553,0.62,0.392,0.328,0.294,0.223,0.615,0.728,0.459
15,4,0.44,0.256,0.33,0.573,0.74,0.468,0.491,0.272,0.378,0.651,0.896,0.557
15,5,0.44,0.376,0.37,0.573,0.38,0.428,0.491,0.41,0.425,0.64,0.413,0.468
