Agent_Type,Rounds,O_MAE,C_MAE,E_MAE,A_MAE,N_MAE,Avg_MAE,O_RMSE,C_RMSE,E_RMSE,A_RMSE,N_RMSE,Avg_RMSE
外向性,1,0.652,0.582,0.668,0.504,0.914,0.664,0.786,0.671,0.809,0.597,1.159,0.781
外向性,2,0.531,0.573,0.817,0.472,0.914,0.662,0.625,0.673,1.007,0.538,1.143,0.783
外向性,3,0.607,0.653,0.717,0.526,0.802,0.661,0.73,0.786,0.887,0.597,0.997,0.766
外向性,4,0.562,0.554,0.762,0.492,0.767,0.627,0.662,0.653,0.926,0.558,0.94,0.727
外向性,5,0.593,0.594,0.876,0.527,0.77,0.672,0.717,0.711,1.078,0.606,0.948,0.796
外向性,6,0.54,0.633,0.779,0.51,0.858,0.664,0.643,0.749,0.95,0.585,1.072,0.786
宜人性,1,0.588,0.577,0.67,0.449,0.917,0.64,0.707,0.671,0.794,0.505,1.159,0.754
宜人性,2,0.6,0.688,0.691,0.512,0.9,0.678,0.706,0.823,0.84,0.588,1.136,0.793
宜人性,3,0.54,0.526,0.643,0.462,0.889,0.612,0.632,0.615,0.766,0.522,1.114,0.729
宜人性,4,0.569,0.647,0.558,0.506,0.849,0.626,0.663,0.775,0.655,0.581,1.043,0.729
宜人性,5,0.567,0.613,0.567,0.449,0.864,0.612,0.665,0.732,0.664,0.515,1.074,0.726
宜人性,6,0.56,0.692,0.632,0.502,0.86,0.649,0.657,0.832,0.748,0.573,1.064,0.754
尽责性,1,0.588,0.538,0.621,0.389,0.807,0.589,0.702,0.622,0.738,0.436,1.017,0.708
尽责性,2,0.626,0.647,0.638,0.509,0.794,0.643,0.758,0.763,0.763,0.581,0.981,0.743
尽责性,3,0.593,0.604,0.662,0.542,0.826,0.646,0.702,0.716,0.782,0.64,1.039,0.756
尽责性,4,0.617,0.628,0.718,0.547,0.849,0.672,0.746,0.746,0.853,0.631,1.06,0.774
尽责性,5,0.743,0.674,0.699,0.535,0.84,0.698,0.927,0.811,0.857,0.619,1.036,0.814
尽责性,6,0.619,0.597,0.617,0.5,0.856,0.639,0.754,0.713,0.74,0.571,1.069,0.757
开放性,1,0.671,0.588,0.695,0.48,0.842,0.655,0.8,0.696,0.831,0.545,1.037,0.767
开放性,2,0.645,0.617,0.564,0.463,0.838,0.626,0.78,0.731,0.656,0.526,1.024,0.724
开放性,3,0.65,0.672,0.665,0.487,0.842,0.663,0.797,0.807,0.802,0.555,1.045,0.775
开放性,4,0.638,0.738,0.574,0.481,0.85,0.656,0.765,0.889,0.669,0.55,1.054,0.767
开放性,5,0.667,0.786,0.609,0.515,0.893,0.694,0.791,0.952,0.725,0.599,1.118,0.804
开放性,6,0.586,0.801,0.762,0.53,0.833,0.702,0.697,0.978,0.929,0.611,1.051,0.826
神经质,1,0.61,0.496,0.59,0.465,0.615,0.555,0.735,0.562,0.69,0.549,0.757,0.649
神经质,2,0.645,0.548,0.652,0.507,0.718,0.614,0.8,0.631,0.79,0.59,0.885,0.729
神经质,3,0.645,0.512,0.709,0.482,0.895,0.649,0.783,0.585,0.855,0.553,1.127,0.759
神经质,4,0.619,0.551,0.646,0.507,0.911,0.647,0.735,0.638,0.77,0.589,1.134,0.759
神经质,5,0.674,0.608,0.624,0.567,0.755,0.646,0.822,0.714,0.742,0.664,0.926,0.753
神经质,6,0.588,0.588,0.682,0.535,0.89,0.657,0.701,0.683,0.833,0.625,1.112,0.767
