Agent_Type,Rounds,O_MAE,C_MAE,E_MAE,A_MAE,N_MAE,Avg_MAE,O_RMSE,C_RMSE,E_RMSE,A_RMSE,N_RMSE,Avg_RMSE
外向性,1,0.637,0.569,0.728,0.538,0.857,0.666,0.763,0.659,0.888,0.644,1.076,0.784
外向性,2,0.586,0.590,0.856,0.493,0.884,0.682,0.701,0.693,1.054,0.570,1.109,0.810
外向性,3,0.587,0.632,0.766,0.523,0.820,0.665,0.699,0.751,0.945,0.597,1.016,0.772
外向性,4,0.559,0.612,0.808,0.520,0.809,0.661,0.660,0.730,0.989,0.600,0.998,0.775
外向性,5,0.594,0.594,0.842,0.576,0.836,0.688,0.710,0.704,1.038,0.679,1.033,0.810
外向性,6,0.572,0.677,0.857,0.559,0.835,0.700,0.688,0.808,1.063,0.654,1.038,0.823
宜人性,1,0.604,0.583,0.628,0.482,0.834,0.627,0.718,0.678,0.747,0.560,1.045,0.738
宜人性,2,0.590,0.671,0.640,0.526,0.853,0.656,0.692,0.801,0.770,0.615,1.064,0.770
宜人性,3,0.587,0.560,0.637,0.518,0.861,0.632,0.689,0.662,0.754,0.606,1.074,0.747
宜人性,4,0.588,0.629,0.616,0.498,0.871,0.640,0.691,0.751,0.730,0.571,1.080,0.745
宜人性,5,0.632,0.625,0.648,0.504,0.882,0.658,0.749,0.745,0.775,0.590,1.098,0.773
宜人性,6,0.595,0.702,0.649,0.559,0.927,0.687,0.707,0.843,0.777,0.654,1.154,0.799
尽责性,1,0.644,0.599,0.664,0.516,0.766,0.638,0.787,0.704,0.794,0.605,0.956,0.757
尽责性,2,0.613,0.616,0.658,0.600,0.776,0.653,0.745,0.727,0.783,0.712,0.960,0.764
尽责性,3,0.594,0.642,0.648,0.607,0.831,0.665,0.709,0.768,0.770,0.723,1.037,0.776
尽责性,4,0.619,0.648,0.678,0.623,0.821,0.678,0.761,0.774,0.810,0.739,1.024,0.791
尽责性,5,0.670,0.699,0.704,0.575,0.831,0.696,0.828,0.848,0.852,0.680,1.026,0.816
尽责性,6,0.645,0.674,0.699,0.570,0.803,0.679,0.797,0.806,0.851,0.675,0.994,0.799
开放性,1,0.669,0.611,0.663,0.553,0.811,0.661,0.796,0.724,0.784,0.652,1.004,0.775
开放性,2,0.628,0.646,0.613,0.535,0.845,0.654,0.751,0.767,0.725,0.629,1.042,0.765
开放性,3,0.639,0.686,0.629,0.526,0.802,0.656,0.777,0.828,0.750,0.615,0.994,0.776
开放性,4,0.632,0.743,0.643,0.571,0.832,0.684,0.756,0.893,0.763,0.679,1.032,0.798
开放性,5,0.617,0.725,0.649,0.557,0.845,0.678,0.731,0.876,0.775,0.654,1.051,0.791
开放性,6,0.600,0.775,0.694,0.582,0.823,0.695,0.716,0.944,0.840,0.685,1.027,0.815
神经质,1,0.649,0.528,0.668,0.492,0.677,0.603,0.794,0.606,0.794,0.584,0.826,0.697
神经质,2,0.638,0.540,0.598,0.518,0.639,0.587,0.780,0.620,0.716,0.613,0.781,0.699
神经质,3,0.631,0.575,0.646,0.480,0.835,0.633,0.768,0.664,0.775,0.554,1.035,0.747
神经质,4,0.617,0.535,0.634,0.528,0.832,0.629,0.739,0.617,0.754,0.620,1.038,0.745
神经质,5,0.650,0.608,0.645,0.562,0.820,0.657,0.785,0.707,0.769,0.664,1.017,0.762
神经质,6,0.612,0.595,0.667,0.535,0.859,0.654,0.729,0.694,0.803,0.627,1.071,0.762
