File,Participant,Agent_Type,Rounds,AblationType,Pred_Openness,Pred_Conscientiousness,Pred_Extraversion,Pred_Agreeableness,Pred_Neuroticism,GT_Openness,GT_Conscientiousness,GT_Extraversion,GT_Agreeableness,GT_Neuroticism,O_MAE,O_Error,O_RMSE,C_MAE,C_Error,C_RMSE,E_MAE,E_Error,E_RMSE,A_MAE,A_Error,A_RMSE,N_MAE,N_Error,N_RMSE,Avg_MAE,Avg_RMSE
20_宜人性_dialogue.txt,20,宜人性,1,dialogue,3.0,4.0,3.0,2.0,3.0,2.4,2.889,2.5,4.0,3.25,0.6,-0.6,0.672,1.111,-1.111,1.358,0.5,-0.5,0.55,2.0,2.0,2.8,0.25,0.25,0.263,0.892,1.087
20_宜人性_dialogue.txt,20,宜人性,5,dialogue,3.0,4.0,3.0,2.0,3.0,2.4,2.889,2.5,4.0,3.25,0.6,-0.6,0.672,1.111,-1.111,1.358,0.5,-0.5,0.55,2.0,2.0,2.8,0.25,0.25,0.263,0.892,1.087
20_宜人性_dialogue.txt,20,宜人性,4,dialogue,3.0,4.0,3.0,2.0,3.0,2.4,2.889,2.5,4.0,3.25,0.6,-0.6,0.672,1.111,-1.111,1.358,0.5,-0.5,0.55,2.0,2.0,2.8,0.25,0.25,0.263,0.892,1.087
20_宜人性_dialogue.txt,20,宜人性,3,dialogue,3.0,4.0,3.0,2.0,3.0,2.4,2.889,2.5,4.0,3.25,0.6,-0.6,0.672,1.111,-1.111,1.358,0.5,-0.5,0.55,2.0,2.0,2.8,0.25,0.25,0.263,0.892,1.087
20_宜人性_dialogue.txt,20,宜人性,2,dialogue,3.0,4.0,3.0,2.0,3.0,2.4,2.889,2.5,4.0,3.25,0.6,-0.6,0.672,1.111,-1.111,1.358,0.5,-0.5,0.55,2.0,2.0,2.8,0.25,0.25,0.263,0.892,1.087
20_宜人性_dialogue.txt,20,宜人性,6,dialogue,3.0,4.0,3.0,2.0,3.0,2.4,2.889,2.5,4.0,3.25,0.6,-0.6,0.672,1.111,-1.111,1.358,0.5,-0.5,0.55,2.0,2.0,2.8,0.25,0.25,0.263,0.892,1.087
41_外向性_dialogue.txt,41,外向性,3,dialogue,3.0,4.0,3.0,2.0,3.0,3.2,3.778,3.625,3.667,2.5,0.2,0.2,0.208,0.222,-0.222,0.232,0.625,0.625,0.703,1.667,1.667,2.222,0.5,-0.5,0.55,0.643,0.838
41_外向性_dialogue.txt,41,外向性,6,dialogue,3.0,4.0,3.0,2.0,3.0,3.2,3.778,3.625,3.667,2.5,0.2,0.2,0.208,0.222,-0.222,0.232,0.625,0.625,0.703,1.667,1.667,2.222,0.5,-0.5,0.55,0.643,0.838
41_外向性_dialogue.txt,41,外向性,4,dialogue,3.0,4.0,3.0,2.0,3.0,3.2,3.778,3.625,3.667,2.5,0.2,0.2,0.208,0.222,-0.222,0.232,0.625,0.625,0.703,1.667,1.667,2.222,0.5,-0.5,0.55,0.643,0.838
41_外向性_dialogue.txt,41,外向性,5,dialogue,3.0,4.0,3.0,2.0,3.0,3.2,3.778,3.625,3.667,2.5,0.2,0.2,0.208,0.222,-0.222,0.232,0.625,0.625,0.703,1.667,1.667,2.222,0.5,-0.5,0.55,0.643,0.838
41_外向性_dialogue.txt,41,外向性,2,dialogue,3.0,4.0,3.0,2.0,3.0,3.2,3.778,3.625,3.667,2.5,0.2,0.2,0.208,0.222,-0.222,0.232,0.625,0.625,0.703,1.667,1.667,2.222,0.5,-0.5,0.55,0.643,0.838
41_外向性_dialogue.txt,41,外向性,1,dialogue,3.0,4.0,3.0,2.0,3.0,3.2,3.778,3.625,3.667,2.5,0.2,0.2,0.208,0.222,-0.222,0.232,0.625,0.625,0.703,1.667,1.667,2.222,0.5,-0.5,0.55,0.643,0.838
