Participant,Rounds,O_MAE,C_MAE,E_MAE,A_MAE,N_MAE,Avg_MAE,O_RMSE,C_RMSE,E_RMSE,A_RMSE,N_RMSE,Avg_RMSE
1,1,0.3,0.778,0.25,1.444,0.875,0.729,0.318,0.899,0.263,1.862,1.028,0.85
1,2,0.32,0.727,0.35,1.464,0.775,0.727,0.341,0.835,0.383,1.894,0.903,0.848
1,3,0.3,0.778,0.25,1.444,0.875,0.729,0.318,0.899,0.263,1.862,1.028,0.85
1,4,0.3,0.778,0.25,1.444,0.875,0.729,0.318,0.899,0.263,1.862,1.028,0.85
1,5,0.3,0.778,0.25,1.444,0.875,0.729,0.318,0.899,0.263,1.862,1.028,0.85
1,6,0.3,0.778,0.25,1.444,0.875,0.729,0.318,0.899,0.263,1.862,1.028,0.85
10,1,0.32,1.629,0.96,1.567,1.345,1.164,0.341,2.213,1.146,2.065,1.745,1.299
10,2,0.3,1.889,1.0,1.667,1.125,1.196,0.318,2.602,1.2,2.222,1.378,1.319
10,3,0.3,1.889,1.0,1.667,1.125,1.196,0.318,2.602,1.2,2.222,1.378,1.319
10,4,0.3,1.889,1.0,1.667,1.125,1.196,0.318,2.602,1.2,2.222,1.378,1.319
10,5,0.3,1.889,1.0,1.667,1.125,1.196,0.318,2.602,1.2,2.222,1.378,1.319
10,6,0.32,1.829,0.8,1.407,1.365,1.144,0.341,2.5,0.96,1.856,1.784,1.312
11,1,1.8,0.556,0.5,1.111,0.375,0.868,2.448,0.617,0.55,1.358,0.403,1.017
11,2,1.8,0.556,0.5,1.111,0.375,0.868,2.448,0.617,0.55,1.358,0.403,1.017
11,3,1.8,0.556,0.5,1.111,0.375,0.868,2.448,0.617,0.55,1.358,0.403,1.017
11,4,1.8,0.556,0.5,1.111,0.375,0.868,2.448,0.617,0.55,1.358,0.403,1.017
11,5,1.8,0.556,0.5,1.111,0.375,0.868,2.448,0.617,0.55,1.358,0.403,1.017
11,6,1.8,0.556,0.5,1.111,0.375,0.868,2.448,0.617,0.55,1.358,0.403,1.017
13,1,0.8,0.111,0.25,1.889,0.375,0.685,0.928,0.114,0.263,2.602,0.403,0.941
13,2,0.8,0.111,0.25,1.889,0.375,0.685,0.928,0.114,0.263,2.602,0.403,0.941
13,3,0.8,0.111,0.25,1.889,0.375,0.685,0.928,0.114,0.263,2.602,0.403,0.941
13,4,0.8,0.111,0.25,1.889,0.375,0.685,0.928,0.114,0.263,2.602,0.403,0.941
13,5,0.8,0.111,0.25,1.889,0.375,0.685,0.928,0.114,0.263,2.602,0.403,0.941
13,6,0.8,0.111,0.25,1.889,0.375,0.685,0.928,0.114,0.263,2.602,0.403,0.941
14,1,1.1,0.333,0.25,1.778,0.875,0.867,1.342,0.356,0.263,2.41,1.028,1.031
14,2,1.1,0.333,0.25,1.778,0.875,0.867,1.342,0.356,0.263,2.41,1.028,1.031
14,3,1.1,0.333,0.25,1.778,0.875,0.867,1.342,0.356,0.263,2.41,1.028,1.031
14,4,1.1,0.333,0.25,1.778,0.875,0.867,1.342,0.356,0.263,2.41,1.028,1.031
14,5,1.1,0.333,0.25,1.778,0.875,0.867,1.342,0.356,0.263,2.41,1.028,1.031
14,6,1.1,0.333,0.25,1.778,0.875,0.867,1.342,0.356,0.263,2.41,1.028,1.031
15,1,0.5,0.556,0.25,1.667,0.5,0.694,0.55,0.617,0.263,2.222,0.55,0.854
15,2,0.5,0.556,0.25,1.667,0.5,0.694,0.55,0.617,0.263,2.222,0.55,0.854
15,3,0.5,0.556,0.25,1.667,0.5,0.694,0.55,0.617,0.263,2.222,0.55,0.854
