File,Participant,Agent_Type,Rounds,AblationType,Pred_Openness,Pred_Conscientiousness,Pred_Extraversion,Pred_Agreeableness,Pred_Neuroticism,GT_Openness,GT_Conscientiousness,GT_Extraversion,GT_Agreeableness,GT_Neuroticism,O_MAE,O_Error,O_RMSE,C_MAE,C_Error,C_RMSE,E_MAE,E_Error,E_RMSE,A_MAE,A_Error,A_RMSE,N_MAE,N_Error,N_RMSE,Avg_MAE,Avg_RMSE
1_开放性_dialogue.txt,1,开放性,1,dialogue,3.2,3.6,2.8,4.0,1.9,2.7,3.222,2.75,3.444,3.875,0.5,-0.5,0.55,0.378,-0.378,0.406,0.05,-0.05,0.05,0.556,-0.556,0.617,1.975,1.975,2.755,0.692,0.96
1_开放性_dialogue.txt,1,开放性,2,dialogue,2.3,3.0,3.6,4.0,1.7,2.7,3.222,2.75,3.444,3.875,0.4,0.4,0.432,0.222,0.222,0.232,0.85,-0.85,0.995,0.556,-0.556,0.617,2.175,2.175,3.121,0.841,1.093
1_开放性_dialogue.txt,1,开放性,3,dialogue,1.8,2.8,3.0,4.2,1.5,2.7,3.222,2.75,3.444,3.875,0.9,0.9,1.062,0.422,0.422,0.458,0.25,-0.25,0.263,0.756,-0.756,0.87,2.375,2.375,3.503,0.941,1.205
1_开放性_dialogue.txt,1,开放性,6,dialogue,2.3,2.7,3.1,4.0,1.8,2.7,3.222,2.75,3.444,3.875,0.4,0.4,0.432,0.522,0.522,0.577,0.35,-0.35,0.375,0.556,-0.556,0.617,2.075,2.075,2.936,0.781,1.017
1_开放性_dialogue.txt,1,开放性,5,dialogue,3.0,4.0,3.0,2.0,3.0,2.7,3.222,2.75,3.444,3.875,0.3,-0.3,0.318,0.778,-0.778,0.899,0.25,-0.25,0.263,1.444,1.444,1.862,0.875,0.875,1.028,0.729,0.85
1_开放性_dialogue.txt,1,开放性,4,dialogue,3.0,4.0,3.0,2.0,3.0,2.7,3.222,2.75,3.444,3.875,0.3,-0.3,0.318,0.778,-0.778,0.899,0.25,-0.25,0.263,1.444,1.444,1.862,0.875,0.875,1.028,0.729,0.85
1_神经质_dialogue.txt,1,神经质,2,dialogue,2.3,3.0,3.3,3.1,2.8,2.7,3.222,2.75,3.444,3.875,0.4,0.4,0.432,0.222,0.222,0.232,0.55,-0.55,0.61,0.344,0.344,0.368,1.075,1.075,1.306,0.518,0.598
1_神经质_dialogue.txt,1,神经质,4,dialogue,2.8,3.0,3.4,2.9,2.2,2.7,3.222,2.75,3.444,3.875,0.1,-0.1,0.102,0.222,0.222,0.232,0.65,-0.65,0.734,0.544,0.544,0.604,1.675,1.675,2.236,0.638,0.847
1_神经质_dialogue.txt,1,神经质,5,dialogue,3.0,4.0,3.0,2.0,3.0,2.7,3.222,2.75,3.444,3.875,0.3,-0.3,0.318,0.778,-0.778,0.899,0.25,-0.25,0.263,1.444,1.444,1.862,0.875,0.875,1.028,0.729,0.85
1_神经质_dialogue.txt,1,神经质,3,dialogue,3.0,4.0,3.0,2.0,3.0,2.7,3.222,2.75,3.444,3.875,0.3,-0.3,0.318,0.778,-0.778,0.899,0.25,-0.25,0.263,1.444,1.444,1.862,0.875,0.875,1.028,0.729,0.85
1_神经质_dialogue.txt,1,神经质,6,dialogue,3.0,4.0,3.0,2.0,3.0,2.7,3.222,2.75,3.444,3.875,0.3,-0.3,0.318,0.778,-0.778,0.899,0.25,-0.25,0.263,1.444,1.444,1.862,0.875,0.875,1.028,0.729,0.85
1_神经质_dialogue.txt,1,神经质,1,dialogue,2.3,2.7,3.0,2.5,1.9,2.7,3.222,2.75,3.444,3.875,0.4,0.4,0.432,0.522,0.522,0.577,0.25,-0.25,0.263,0.944,0.944,1.123,1.975,1.975,2.755,0.818,1.028
1_宜人性_dialogue.txt,1,宜人性,3,dialogue,2.8,3.0,3.3,4.0,1.7,2.7,3.222,2.75,3.444,3.875,0.1,-0.1,0.102,0.222,0.222,0.232,0.55,-0.55,0.61,0.556,-0.556,0.617,2.175,2.175,3.121,0.721,1.039
1_宜人性_dialogue.txt,1,宜人性,2,dialogue,3.0,2.5,3.0,2.0,1.7,2.7,3.222,2.75,3.444,3.875,0.3,-0.3,0.318,0.722,0.722,0.827,0.25,-0.25,0.263,1.444,1.444,1.862,2.175,2.175,3.121,0.978,1.224
